WorkOrder_ID,Equipment_ID,Engineer,Issue_Description,Resolution_Notes,Parts_Consumed,Date_Completed,Linked_Documents,Status,Priority
WO-2026-001,CNC-601,John Doe,Spindle vibration high,Replaced spindle bearings per Siemens Manual (ENG-MAN-CNC601-SIEMENS-001.pdf). Performed LOTO procedure (EHS-SOP-LOTO-001.pdf). Calibrated runout.,BRG-992-SKF,2026-07-01,ENG-MAN-CNC601-SIEMENS-001.pdf;EHS-SOP-LOTO-001.pdf,Closed,High
WO-2026-002,P-101,Jane Smith,Low coolant flow,Cleaned strainer and replaced seal.,SEAL-101-ABB,2026-07-02,ENG-MAN-P101-ABB-001.pdf,Closed,Medium
WO-2026-003,M-501,Mike Jones,Motor overheating,Inspected cooling fan and replaced stator winding.,WIND-501,2026-07-03,ENG-MAN-M501-SCHNEIDER-001.pdf,Closed,High
WO-2026-004,C-201,Sarah Lee,Compressor oil leak,Replaced oil seal on main shaft.,SEAL-201,2026-07-04,ENG-MAN-C201-ATLAS-001.pdf,Closed,High
WO-2026-005,CNC-602,John Doe,Tool changer stuck,Lubricated ATC arm and reset home position.,LUB-001,2026-07-05,ENG-MAN-CNC602-SIEMENS-001.pdf,Closed,Medium
WO-2026-006,P-103,Jane Smith,Pump cavitation noise,Adjusted suction pressure and replaced impeller.,IMP-103,2026-07-06,,Closed,Medium
WO-2026-007,M-502,Mike Jones,High vibration on startup,Realigned motor to pump coupling.,CPL-502,2026-07-07,ENG-MAN-M502-SCHNEIDER-001.pdf,Closed,Low
WO-2026-008,V-401,Sarah Lee,Valve not closing fully,Replaced valve seat and actuator diaphragm.,SEAT-401,2026-07-08,,Closed,High
WO-2026-009,RBT-701,John Doe,Axis 3 overcurrent fault,Replaced servo motor for Axis 3.,SRV-701,2026-07-09,,Closed,High
WO-2026-010,B-301,Jane Smith,Low steam pressure,Cleaned burner nozzles and adjusted fuel-air ratio.,NOZ-301,2026-07-10,,Closed,Medium
WO-2026-011,CNC-601,Mike Jones,Coolant pump failure,Replaced coolant pump P-101.,PMP-101,2026-07-11,ENG-MAN-P101-ABB-001.pdf,Closed,High
WO-2026-012,C-202,Sarah Lee,High discharge temperature,Cleaned intercooler and replaced thermal valve.,VAL-202,2026-07-12,ENG-MAN-C202-ATLAS-001.pdf,Closed,High
WO-2026-013,M-504,John Doe,Motor bearing noise,Greased bearings.,LUB-002,2026-07-13,ENG-MAN-M504-ABB-001.pdf,Closed,Low
WO-2026-014,V-403,Jane Smith,Leak at stem,Replaced stem packing.,PCK-403,2026-07-14,,Closed,Medium
WO-2026-015,RBT-702,Mike Jones,Teach pendant error,Replaced communication cable.,CBL-702,2026-07-15,,Closed,Medium
WO-2026-016,B-302,Sarah Lee,Flame failure lockout,Replaced flame scanner.,SCN-302,2026-07-16,,Closed,High
WO-2026-017,CNC-603,John Doe,X-axis ballscrew wear,Replaced X-axis ballscrew and nut.,BS-603,2026-07-17,,Closed,High
WO-2026-018,P-102,Jane Smith,Vibration alert,Tightened foundation bolts.,,2026-07-18,,Closed,Low
WO-2026-019,M-505,Mike Jones,Phase imbalance,Rewired terminal box connections.,,2026-07-19,,Closed,Medium
WO-2026-020,C-203,Sarah Lee,Air filter differential high,Replaced intake air filter.,FLT-203,2026-07-20,,Closed,Low
WO-2026-021,CNC-604,John Doe,Hydraulic pressure drop,Replaced hydraulic pump P-103.,PMP-103,2026-07-21,,Closed,High
WO-2026-022,V-405,Jane Smith,Actuator failure,Replaced pneumatic actuator.,ACT-405,2026-07-22,,Closed,Medium
WO-2026-023,RBT-703,Mike Jones,Gripper not actuating,Replaced solenoid valve.,SOL-703,2026-07-23,,Closed,Medium
WO-2026-024,B-303,Sarah Lee,Water level sight glass leak,Replaced sight glass tube.,SGT-303,2026-07-24,,Closed,Low
WO-2026-025,CNC-605,John Doe,Spindle chiller alarm,Replaced chiller compressor.,CMP-605,2026-07-25,,Closed,High
WO-2026-026,P-104,Jane Smith,Seal leak,Replaced mechanical seal.,SEAL-104,2026-07-26,,Closed,Medium
WO-2026-027,M-501,Mike Jones,High temp warning,Cleaned cooling fins.,,2026-07-27,ENG-MAN-M501-SCHNEIDER-001.pdf,Closed,Low
WO-2026-028,C-204,Sarah Lee,Unloader valve stuck,Rebuilt unloader valve.,VAL-204,2026-07-28,,Closed,Medium
WO-2026-029,V-402,John Doe,Passing gas,Lapped valve seat.,,2026-07-29,,Closed,High
WO-2026-030,RBT-704,Jane Smith,Collision detection error,Recalibrated tool center point.,,2026-07-30,,Closed,Medium
