Equipment_ID,Equipment_Name,Department,Manufacturer,Plant,Area,Criticality,Installation_Year,Status
CNC-601,5-Axis Machining Center A,Production,Siemens,TX-Plant-01,Machining_Zone,High,2018,Active
CNC-602,5-Axis Machining Center B,Production,Siemens,TX-Plant-01,Machining_Zone,High,2019,Active
CNC-603,3-Axis Vertical Mill,Production,Haas,TX-Plant-01,Machining_Zone,Medium,2015,Active
CNC-604,CNC Lathe Center,Production,Mazak,TX-Plant-01,Machining_Zone,Medium,2017,Active
CNC-605,Horizontal Machining Center,Production,Okuma,TX-Plant-01,Machining_Zone,High,2020,Active
P-101,Coolant Supply Pump Main,Maintenance,ABB,TX-Plant-01,Utility_Zone,Medium,2020,Active
P-102,Coolant Supply Pump Aux,Maintenance,ABB,TX-Plant-01,Utility_Zone,Low,2020,Active
P-103,Hydraulic Pressure Pump A,Maintenance,Grundfos,TX-Plant-01,Utility_Zone,High,2018,Active
P-104,Hydraulic Pressure Pump B,Maintenance,Grundfos,TX-Plant-01,Utility_Zone,High,2018,Active
P-105,Water Circulation Pump,Maintenance,Flowserve,TX-Plant-01,Utility_Zone,Low,2016,Active
C-201,Rotary Screw Compressor A,Maintenance,Atlas Copco,TX-Plant-01,Utility_Zone,High,2017,Active
C-202,Rotary Screw Compressor B,Maintenance,Atlas Copco,TX-Plant-01,Utility_Zone,High,2017,Active
C-203,Air Compressor Main,Maintenance,Ingersoll Rand,TX-Plant-01,Utility_Zone,High,2015,Active
C-204,Air Compressor Backup,Maintenance,Ingersoll Rand,TX-Plant-01,Utility_Zone,Medium,2015,Active
C-205,High Pressure Gas Compressor,Maintenance,Atlas Copco,TX-Plant-01,Utility_Zone,High,2021,Active
M-501,Spindle Drive Motor Main,Production,Schneider,TX-Plant-01,Machining_Zone,High,2021,Active
M-502,Conveyor Drive Motor A,Production,Schneider,TX-Plant-01,Assembly_Zone,Medium,2019,Active
M-503,Conveyor Drive Motor B,Production,Schneider,TX-Plant-01,Assembly_Zone,Medium,2019,Active
M-504,Exhaust Fan Motor,Maintenance,ABB,TX-Plant-01,HVAC_Zone,Low,2018,Active
M-505,Cooling Tower Motor,Maintenance,Siemens,TX-Plant-01,HVAC_Zone,Medium,2020,Active
V-401,Pressure Relief Valve Main,Maintenance,Fisher,TX-Plant-01,Utility_Zone,High,2015,Active
V-402,Pressure Relief Valve Aux,Maintenance,Fisher,TX-Plant-01,Utility_Zone,Medium,2015,Active
V-403,Coolant Control Valve A,Maintenance,Emerson,TX-Plant-01,Utility_Zone,Medium,2019,Active
V-404,Coolant Control Valve B,Maintenance,Emerson,TX-Plant-01,Utility_Zone,Medium,2019,Active
V-405,Gas Isolation Valve,Maintenance,Flowserve,TX-Plant-01,Utility_Zone,High,2022,Active
RBT-701,6-Axis Welding Robot A,Production,FANUC,TX-Plant-01,Welding_Cell,High,2022,Active
RBT-702,6-Axis Welding Robot B,Production,FANUC,TX-Plant-01,Welding_Cell,High,2022,Active
RBT-703,Material Handling Robot,Production,KUKA,TX-Plant-01,Assembly_Zone,Medium,2021,Active
RBT-704,Assembly Robot,Production,Yaskawa,TX-Plant-01,Assembly_Zone,High,2023,Active
RBT-705,Packaging Robot,Production,ABB,TX-Plant-01,Packaging_Zone,Medium,2020,Active
B-301,Industrial Steam Boiler A,Maintenance,Cleaver-Brooks,TX-Plant-01,Utility_Zone,High,2016,Active
B-302,Industrial Steam Boiler B,Maintenance,Cleaver-Brooks,TX-Plant-01,Utility_Zone,High,2016,Active
B-303,Hot Water Boiler,Maintenance,Fulton,TX-Plant-01,Utility_Zone,Medium,2018,Active
B-304,Recovery Boiler,Maintenance,Babcock,TX-Plant-01,Utility_Zone,High,2014,Active
B-305,Auxiliary Boiler,Maintenance,Cleaver-Brooks,TX-Plant-01,Utility_Zone,Low,2019,Active
EP-801,Main Electrical Panel,Maintenance,Eaton,TX-Plant-01,Electrical_Room,Critical,2015,Active
EP-802,Sub Panel Machining,Maintenance,Square D,TX-Plant-01,Machining_Zone,High,2018,Active
TR-901,Main Step-Down Transformer,Maintenance,GE,TX-Plant-01,Electrical_Room,Critical,2010,Active
PLC-001,Main Assembly PLC,Production,Allen-Bradley,TX-Plant-01,Assembly_Zone,High,2020,Active
PLC-002,Packaging Line PLC,Production,Siemens,TX-Plant-01,Packaging_Zone,High,2021,Active
