Lube_ID,Equipment_ID,Date,Technician,Lubricant_Type,Quantity_Used,Notes
LL-2026-001,CNC-601,2026-07-01,John Doe,Mobil Vactra 2,2L,Topped off way lube reservoir.
LL-2026-002,P-101,2026-07-05,Jane Smith,SKF LGHP 2,50g,Greased motor and pump bearings.
LL-2026-003,C-201,2026-07-10,Sarah Lee,Atlas Copco Roto Inject Fluid,20L,Changed compressor oil.
LL-2026-004,RBT-701,2026-07-15,Mike Jones,Kyodo Yushi Molywhite,500g,Greased RV reducers on all axes.
LL-2026-005,M-501,2026-07-20,John Doe,Mobil Polyrex EM,20g,Greased motor bearings.
LL-2026-006,CNC-602,2026-07-25,Jane Smith,Mobil Vactra 2,1L,Topped off.
LL-2026-007,P-103,2026-07-30,Sarah Lee,Shell Tellus S2,10L,Hydraulic oil top off.
LL-2026-008,C-202,2026-08-04,Mike Jones,Atlas Copco Roto Inject Fluid,2L,Top off compressor oil.
LL-2026-009,RBT-702,2026-08-09,John Doe,Kyodo Yushi Molywhite,100g,Touch up grease on wrist axis.
LL-2026-010,M-504,2026-08-14,Jane Smith,Mobil Polyrex EM,10g,Motor bearing grease.
LL-2026-011,CNC-603,2026-08-19,Sarah Lee,Mobil Vactra 2,2.5L,Way lube refill.
LL-2026-012,P-102,2026-08-24,Mike Jones,SKF LGHP 2,40g,Bearing grease.
LL-2026-013,C-203,2026-08-29,John Doe,Ingersoll Rand Ultra Coolant,15L,Oil change.
LL-2026-014,RBT-703,2026-09-03,Jane Smith,Kyodo Yushi Molywhite,250g,Grease axis 1-3.
LL-2026-015,M-502,2026-09-08,Sarah Lee,Mobil Polyrex EM,15g,Motor bearing grease.
