Document_ID,Document_Name,Equipment_ID,Equipment_Name,Department,Document_Type,Manufacturer,Area,Language,OCR_Required,Chunked,Embedded,Graph_Processed,Source,Version,Revision,Owner,Priority,Status,Tags,Created_Date,Updated_Date
DOC-1001,ENG-MAN-CNC601-SIEMENS-001.pdf,CNC-601,5-Axis Machining Center A,Engineering,OEM_Manual,Siemens,Machining_Zone,EN,FALSE,FALSE,FALSE,FALSE,Public_Siemens,1.2,RevC,eng@nexus.com,High,Active,"manual, cnc, siemens",2023-01-15,2024-05-10
DOC-1002,ENG-MAN-CNC602-SIEMENS-001.pdf,CNC-602,5-Axis Machining Center B,Engineering,OEM_Manual,Siemens,Machining_Zone,EN,FALSE,FALSE,FALSE,FALSE,Public_Siemens,1.0,RevA,eng@nexus.com,High,Active,"manual, cnc, siemens",2023-01-15,2024-05-10
DOC-1003,ENG-MAN-P101-ABB-001.pdf,P-101,Coolant Supply Pump Main,Engineering,OEM_Manual,ABB,Utility_Zone,EN,FALSE,FALSE,FALSE,FALSE,Public_ABB,2.0,RevB,eng@nexus.com,High,Active,"manual, pump, abb",2023-01-15,2024-05-10
DOC-1004,ENG-MAN-M504-ABB-001.pdf,M-504,Exhaust Fan Motor,Engineering,OEM_Manual,ABB,HVAC_Zone,EN,FALSE,FALSE,FALSE,FALSE,Public_ABB,1.0,RevA,eng@nexus.com,Medium,Active,"manual, motor, abb",2023-01-15,2024-05-10
DOC-1005,ENG-MAN-M501-SCHNEIDER-001.pdf,M-501,Spindle Drive Motor Main,Engineering,OEM_Manual,Schneider,Machining_Zone,EN,FALSE,FALSE,FALSE,FALSE,Public_Schneider,3.1,RevD,eng@nexus.com,High,Active,"manual, motor, schneider",2023-01-15,2024-05-10
DOC-1006,ENG-MAN-M502-SCHNEIDER-001.pdf,M-502,Conveyor Drive Motor A,Engineering,OEM_Manual,Schneider,Assembly_Zone,EN,FALSE,FALSE,FALSE,FALSE,Public_Schneider,2.0,RevB,eng@nexus.com,Medium,Active,"manual, motor, schneider",2023-01-15,2024-05-10
DOC-1007,ENG-MAN-C201-ATLAS-001.pdf,C-201,Rotary Screw Compressor A,Engineering,OEM_Manual,Atlas Copco,Utility_Zone,EN,FALSE,FALSE,FALSE,FALSE,Public_Atlas,1.0,RevA,eng@nexus.com,High,Active,"manual, compressor, atlas copco",2023-01-15,2024-05-10
DOC-1008,ENG-MAN-C202-ATLAS-001.pdf,C-202,Rotary Screw Compressor B,Engineering,OEM_Manual,Atlas Copco,Utility_Zone,EN,FALSE,FALSE,FALSE,FALSE,Public_Atlas,1.0,RevA,eng@nexus.com,High,Active,"manual, compressor, atlas copco",2023-01-15,2024-05-10
DOC-1009,MNT-MAN-HVAC-001.pdf,HVAC_System,HVAC System,Maintenance,Maintenance_Manual,Internal,Plant_Wide,EN,FALSE,FALSE,FALSE,FALSE,Internal,1.0,RevA,maintenance@nexus.com,Medium,Active,"manual, hvac, maintenance",2023-01-15,2024-05-10
DOC-1010,EHS-SOP-LOTO-001.pdf,All,All Equipment,Safety,Safety_SOP,Internal,Plant_Wide,EN,FALSE,FALSE,FALSE,FALSE,Internal,1.1,RevB,safety@nexus.com,Critical,Active,"sop, safety, loto",2023-01-15,2024-05-10
DOC-1011,EHS-SOP-CONFINED-002.pdf,All,All Equipment,Safety,Safety_SOP,Internal,Plant_Wide,EN,FALSE,FALSE,FALSE,FALSE,Internal,1.0,RevA,safety@nexus.com,Critical,Active,"sop, safety, confined space",2023-01-15,2024-05-10
