Maintenance_ID,Equipment_ID,Date,Task_Type,Description,Technician,Duration_Hours
ML-2026-001,CNC-601,2026-06-01,Preventive,Monthly way lube top off and wiper check,John Doe,1.5
ML-2026-002,P-101,2026-06-05,Preventive,Vibration baseline check and bearing acoustic test,Jane Smith,0.5
ML-2026-003,C-201,2026-06-10,Preventive,Oil sample taken and filter delta P checked,Sarah Lee,1.0
ML-2026-004,M-501,2026-06-12,Preventive,Megger test stator windings,Mike Jones,0.5
ML-2026-005,RBT-701,2026-06-15,Preventive,Grease axis 1-3 gearboxes,John Doe,2.0
ML-2026-006,V-401,2026-06-18,Preventive,Stroke test and packing visual check,Jane Smith,0.5
ML-2026-007,B-301,2026-06-20,Preventive,Annual waterside inspection prep,Sarah Lee,4.0
ML-2026-008,CNC-602,2026-06-22,Preventive,Coolant tank cleanout and skimmer adjustment,Mike Jones,3.0
ML-2026-009,P-103,2026-06-25,Preventive,Laser alignment verification,John Doe,1.5
ML-2026-010,C-202,2026-06-28,Preventive,Check unloader operation and drain moisture traps,Jane Smith,1.0
ML-2026-011,M-504,2026-07-02,Preventive,Clean cooling fins and test thermistor,Sarah Lee,0.5
ML-2026-012,CNC-603,2026-07-05,Preventive,Check tool carousel alignment,Mike Jones,1.0
ML-2026-013,P-102,2026-07-08,Preventive,Lubricate motor bearings,John Doe,0.5
ML-2026-014,C-203,2026-07-10,Preventive,Change air intake filter,Jane Smith,0.5
ML-2026-015,RBT-702,2026-07-12,Preventive,Inspect cable track for wear,Sarah Lee,0.5
ML-2026-016,V-403,2026-07-15,Preventive,Calibrate smart positioner,Mike Jones,1.0
ML-2026-017,B-302,2026-07-18,Preventive,Test low water cutoff,John Doe,0.5
ML-2026-018,CNC-604,2026-07-20,Preventive,Inspect chuck jaws and hydraulic pressure,Jane Smith,1.0
ML-2026-019,P-104,2026-07-22,Preventive,Check seal leak-off rate,Sarah Lee,0.5
ML-2026-020,M-502,2026-07-25,Preventive,Thermography scan of terminal box,Mike Jones,0.5
ML-2026-021,C-204,2026-07-28,Preventive,Check drive belt tension,John Doe,0.5
ML-2026-022,RBT-703,2026-08-02,Preventive,Clean pneumatic valve mufflers,Jane Smith,0.5
ML-2026-023,V-405,2026-08-05,Preventive,Test emergency failsafe closure,Sarah Lee,0.5
ML-2026-024,B-303,2026-08-08,Preventive,Blow down water column,Mike Jones,0.5
ML-2026-025,CNC-605,2026-08-10,Preventive,Check chiller flow rate and temp,John Doe,0.5
ML-2026-026,P-105,2026-08-12,Preventive,Grease motor and pump bearings,Jane Smith,1.0
ML-2026-027,M-505,2026-08-15,Preventive,Check vibration spectrum,Sarah Lee,1.0
ML-2026-028,C-205,2026-08-18,Preventive,Take oil sample,Mike Jones,0.5
ML-2026-029,RBT-704,2026-08-20,Preventive,Backup robot program,John Doe,0.5
ML-2026-030,B-304,2026-08-22,Preventive,Test safety relief valve lift,Jane Smith,1.0
