Failure_ID,Equipment_ID,Date,Failure_Mode,Root_Cause,Downtime_Hours,Associated_WO
FR-2026-001,CNC-601,2026-07-01,Bearing Failure,Lack of lubrication due to clogged line,12.5,WO-2026-001
FR-2026-002,P-101,2026-07-02,Seal Leak,Normal wear and tear,4.0,WO-2026-002
FR-2026-003,M-501,2026-07-03,Overheating,Cooling fan blocked by debris,6.0,WO-2026-003
FR-2026-004,C-201,2026-07-04,Oil Leak,Worn shaft seal,8.5,WO-2026-004
FR-2026-005,CNC-602,2026-07-05,ATC Jam,Sensor failure (proximity switch),3.0,WO-2026-005
FR-2026-006,P-103,2026-07-06,Cavitation,Suction strainer clogged,2.5,WO-2026-006
FR-2026-007,M-502,2026-07-07,High Vibration,Coupling misalignment,1.5,WO-2026-007
FR-2026-008,V-401,2026-07-08,Passing (Internal Leak),Debris trapped in valve seat,5.0,WO-2026-008
FR-2026-009,RBT-701,2026-07-09,Axis Fault,Servo motor encoder failure,9.0,WO-2026-009
FR-2026-010,B-301,2026-07-10,Low Pressure,Burner nozzle clogged,3.5,WO-2026-010
